,date,open,high,low,close,volume,avg,crossover,trade_value
528,2024-10-22 11:48:00+05:30,51640.05,51646.55,51587.65,51606.2,0,51617,0,-10
529,2024-10-22 11:49:00+05:30,51602.85,51618.75,51571.6,51609.1,0,51595,1,14
530,2024-10-22 11:50:00+05:30,51612.1,51628.2,51591.15,51628.2,0,51609,1,19
531,2024-10-22 11:51:00+05:30,51622.8,51629.65,51591.25,51614.2,0,51610,1,4
532,2024-10-22 11:52:00+05:30,51612.45,51629.65,51591.65,51596.3,0,51610,0,-13
533,2024-10-22 11:53:00+05:30,51598.15,51608.9,51581.2,51589.55,0,51595,0,-5
534,2024-10-22 11:54:00+05:30,51596.5,51596.75,51527.9,51529.0,0,51562,0,-33
535,2024-10-22 11:55:00+05:30,51530.4,51577.9,51513.65,51577.9,0,51545,1,32
536,2024-10-22 11:56:00+05:30,51579.35,51603.95,51576.15,51596.95,0,51590,1,6
537,2024-10-22 11:57:00+05:30,51597.75,51608.9,51582.1,51608.7,0,51595,1,13
538,2024-10-22 11:58:00+05:30,51607.75,51640.95,51592.3,51626.35,0,51616,1,10
539,2024-10-22 11:59:00+05:30,51631.85,51660.8,51622.3,51645.1,0,51641,1,4
540,2024-10-22 12:00:00+05:30,51645.7,51709.7,51638.25,51680.2,0,51673,1,7
541,2024-10-22 12:01:00+05:30,51680.35,51685.05,51645.7,51655.45,0,51665,0,-9
542,2024-10-22 12:02:00+05:30,51654.6,51659.4,51636.1,51655.0,0,51647,1,8
543,2024-10-22 12:03:00+05:30,51656.9,51666.25,51634.95,51639.65,0,51650,0,-10
544,2024-10-22 12:04:00+05:30,51639.75,51642.2,51613.05,51621.15,0,51627,0,-5
545,2024-10-22 12:05:00+05:30,51623.1,51654.6,51611.45,51650.75,0,51633,1,17
546,2024-10-22 12:06:00+05:30,51651.0,51665.45,51639.65,51643.15,0,51652,0,-8
547,2024-10-22 12:07:00+05:30,51646.05,51662.65,51641.75,51649.35,0,51652,0,-2
548,2024-10-22 12:08:00+05:30,51647.65,51656.4,51628.45,51629.7,0,51642,0,-12
549,2024-10-22 12:09:00+05:30,51630.15,51654.3,51627.8,51650.75,0,51641,1,9
550,2024-10-22 12:10:00+05:30,51649.9,51660.5,51623.9,51624.7,0,51642,0,-17
551,2024-10-22 12:11:00+05:30,51624.1,51639.55,51618.6,51638.85,0,51629,1,9
552,2024-10-22 12:12:00+05:30,51641.4,51652.35,51623.35,51642.95,0,51637,1,5
553,2024-10-22 12:13:00+05:30,51644.65,51683.95,51644.5,51666.15,0,51664,1,2
554,2024-10-22 12:14:00+05:30,51670.2,51683.25,51625.0,51629.95,0,51654,0,-24
555,2024-10-22 12:15:00+05:30,51627.3,51640.4,51617.35,51625.3,0,51628,0,-2
556,2024-10-22 12:16:00+05:30,51627.55,51628.4,51610.45,51614.65,0,51619,0,-4
557,2024-10-22 12:17:00+05:30,51616.35,51617.45,51579.3,51579.95,0,51598,0,-18
558,2024-10-22 12:18:00+05:30,51583.4,51599.65,51583.4,51595.8,0,51591,1,4
559,2024-10-22 12:19:00+05:30,51597.5,51628.7,51591.35,51596.15,0,51610,0,-13
560,2024-10-22 12:20:00+05:30,51594.4,51611.55,51588.1,51595.7,0,51599,0,-3
561,2024-10-22 12:21:00+05:30,51597.95,51600.45,51572.95,51600.45,0,51586,1,14
562,2024-10-22 12:22:00+05:30,51600.85,51621.25,51597.55,51614.9,0,51609,1,5
563,2024-10-22 12:23:00+05:30,51613.6,51670.65,51613.6,51657.2,0,51642,1,15
564,2024-10-22 12:24:00+05:30,51657.05,51770.45,51656.7,51752.55,0,51713,1,39
565,2024-10-22 12:25:00+05:30,51751.0,51753.8,51695.5,51702.15,0,51724,0,-21
566,2024-10-22 12:26:00+05:30,51705.45,51712.85,51676.65,51680.05,0,51694,0,-13
567,2024-10-22 12:27:00+05:30,51675.7,51705.3,51666.55,51666.55,0,51685,0,-18
568,2024-10-22 12:28:00+05:30,51665.5,51668.75,51568.35,51573.75,0,51618,0,-44
569,2024-10-22 12:29:00+05:30,51571.65,51587.8,51555.65,51583.2,0,51571,1,12
570,2024-10-22 12:30:00+05:30,51578.6,51587.3,51527.05,51546.05,0,51557,0,-10
571,2024-10-22 12:31:00+05:30,51550.3,51561.95,51534.05,51558.45,0,51548,1,10
572,2024-10-22 12:32:00+05:30,51555.05,51593.7,51553.7,51587.8,0,51573,1,14
573,2024-10-22 12:33:00+05:30,51581.2,51609.5,51576.75,51593.65,0,51593,1,0
574,2024-10-22 12:34:00+05:30,51593.1,51611.8,51581.05,51599.05,0,51596,1,3
575,2024-10-22 12:35:00+05:30,51591.55,51596.75,51568.4,51577.45,0,51582,0,-4
576,2024-10-22 12:36:00+05:30,51578.8,51578.8,51554.0,51559.6,0,51566,0,-6
577,2024-10-22 12:37:00+05:30,51558.75,51566.45,51547.05,51561.0,0,51556,1,5
578,2024-10-22 12:38:00+05:30,51559.55,51571.85,51539.25,51539.25,0,51555,0,-15
579,2024-10-22 12:39:00+05:30,51539.05,51572.75,51527.15,51572.75,0,51549,1,23
580,2024-10-22 12:40:00+05:30,51569.6,51575.9,51545.9,51574.1,0,51560,1,14
581,2024-10-22 12:41:00+05:30,51569.4,51579.9,51558.55,51563.6,0,51569,0,-5
582,2024-10-22 12:42:00+05:30,51563.4,51575.85,51542.7,51554.95,0,51559,0,-4
583,2024-10-22 12:43:00+05:30,51550.2,51581.1,51547.2,51547.9,0,51564,0,-16
584,2024-10-22 12:44:00+05:30,51544.9,51592.6,51543.15,51592.6,0,51567,1,25
585,2024-10-22 12:45:00+05:30,51592.15,51595.8,51559.6,51567.05,0,51577,0,-9
586,2024-10-22 12:46:00+05:30,51564.95,51572.5,51555.35,51558.6,0,51563,0,-4
587,2024-10-22 12:47:00+05:30,51555.85,51559.05,51512.3,51517.4,0,51535,0,-17
588,2024-10-22 12:48:00+05:30,51513.25,51523.35,51507.2,51513.55,0,51515,0,-1
589,2024-10-22 12:49:00+05:30,51513.95,51538.1,51493.35,51495.15,0,51515,0,-19
590,2024-10-22 12:50:00+05:30,51494.7,51517.7,51457.7,51502.7,0,51487,1,15
591,2024-10-22 12:51:00+05:30,51501.75,51513.9,51493.0,51506.05,0,51503,1,3
592,2024-10-22 12:52:00+05:30,51503.85,51519.4,51492.05,51503.6,0,51505,0,-1
593,2024-10-22 12:53:00+05:30,51506.0,51529.45,51496.75,51529.4,0,51513,1,16
594,2024-10-22 12:54:00+05:30,51530.15,51530.7,51495.75,51501.35,0,51513,0,-11
595,2024-10-22 12:55:00+05:30,51504.3,51518.05,51487.1,51508.55,0,51502,1,6
596,2024-10-22 12:56:00+05:30,51513.6,51556.7,51507.55,51553.7,0,51532,1,21
597,2024-10-22 12:57:00+05:30,51551.95,51554.9,51532.9,51541.65,0,51543,0,-1
598,2024-10-22 12:58:00+05:30,51541.15,51548.5,51519.6,51546.6,0,51534,1,12
599,2024-10-22 12:59:00+05:30,51547.35,51557.1,51533.3,51535.55,0,51545,0,-9
600,2024-10-22 13:00:00+05:30,51534.3,51537.95,51504.35,51506.75,0,51521,0,-14
601,2024-10-22 13:01:00+05:30,51504.4,51519.5,51494.65,51519.5,0,51507,1,12
602,2024-10-22 13:02:00+05:30,51519.4,51519.4,51462.85,51464.35,0,51491,0,-26
603,2024-10-22 13:03:00+05:30,51467.8,51481.7,51455.9,51461.95,0,51468,0,-6
604,2024-10-22 13:04:00+05:30,51462.5,51497.3,51462.5,51495.0,0,51479,1,16
605,2024-10-22 13:05:00+05:30,51496.0,51508.8,51480.85,51482.45,0,51494,0,-11
606,2024-10-22 13:06:00+05:30,51484.85,51484.85,51444.0,51465.6,0,51464,1,1
607,2024-10-22 13:07:00+05:30,51467.25,51520.9,51465.95,51514.7,0,51493,1,21
608,2024-10-22 13:08:00+05:30,51521.05,51522.35,51487.4,51495.4,0,51504,0,-8
609,2024-10-22 13:09:00+05:30,51495.7,51508.5,51482.25,51482.25,0,51495,0,-12
610,2024-10-22 13:10:00+05:30,51480.35,51487.55,51450.3,51453.9,0,51468,0,-14
611,2024-10-22 13:11:00+05:30,51453.1,51501.55,51449.35,51493.1,0,51475,1,18
612,2024-10-22 13:12:00+05:30,51491.6,51500.45,51475.0,51475.0,0,51487,0,-12
613,2024-10-22 13:13:00+05:30,51479.3,51491.25,51452.2,51463.75,0,51471,0,-7
614,2024-10-22 13:14:00+05:30,51469.75,51505.5,51465.65,51504.0,0,51485,1,19
615,2024-10-22 13:15:00+05:30,51505.1,51510.15,51469.65,51469.65,0,51489,0,-19
616,2024-10-22 13:16:00+05:30,51474.05,51502.05,51452.45,51471.5,0,51477,0,-5
617,2024-10-22 13:17:00+05:30,51471.9,51494.9,51461.1,51465.95,0,51478,0,-12
618,2024-10-22 13:18:00+05:30,51467.85,51477.15,51442.5,51448.8,0,51459,0,-10
619,2024-10-22 13:19:00+05:30,51450.25,51454.75,51422.95,51435.05,0,51438,0,-2
620,2024-10-22 13:20:00+05:30,51431.3,51444.8,51411.2,51443.9,0,51428,1,15
621,2024-10-22 13:21:00+05:30,51445.55,51462.2,51433.55,51455.7,0,51447,1,8
622,2024-10-22 13:22:00+05:30,51456.1,51468.55,51447.85,51463.45,0,51458,1,5
623,2024-10-22 13:23:00+05:30,51465.3,51466.5,51432.25,51439.85,0,51449,0,-9
624,2024-10-22 13:24:00+05:30,51441.05,51477.0,51436.8,51467.2,0,51456,1,11
625,2024-10-22 13:25:00+05:30,51472.25,51488.5,51465.95,51471.0,0,51477,0,-6
626,2024-10-22 13:26:00+05:30,51471.75,51471.75,51447.15,51461.4,0,51459,1,2
627,2024-10-22 13:27:00+05:30,51460.05,51473.75,51450.85,51455.5,0,51462,0,-6
628,2024-10-22 13:28:00+05:30,51453.5,51484.65,51441.95,51483.95,0,51463,1,20
629,2024-10-22 13:29:00+05:30,51478.8,51494.0,51473.55,51490.2,0,51483,1,7
630,2024-10-22 13:30:00+05:30,51494.85,51562.55,51494.85,51533.35,0,51528,1,5
631,2024-10-22 13:31:00+05:30,51531.95,51533.4,51481.9,51505.3,0,51507,0,-1
632,2024-10-22 13:32:00+05:30,51504.2,51552.3,51504.2,51549.95,0,51528,1,21
633,2024-10-22 13:33:00+05:30,51546.9,51548.6,51523.8,51536.7,0,51536,1,0
634,2024-10-22 13:34:00+05:30,51534.8,51534.8,51506.15,51523.0,0,51520,1,3
635,2024-10-22 13:35:00+05:30,51520.6,51525.4,51499.3,51514.65,0,51512,1,2
636,2024-10-22 13:36:00+05:30,51515.05,51515.05,51463.1,51468.25,0,51489,0,-20
637,2024-10-22 13:37:00+05:30,51469.85,51504.45,51469.2,51485.65,0,51486,0,0
638,2024-10-22 13:38:00+05:30,51487.35,51514.65,51481.5,51502.85,0,51498,1,4
639,2024-10-22 13:39:00+05:30,51503.8,51528.1,51495.35,51527.1,0,51511,1,16
640,2024-10-22 13:40:00+05:30,51526.25,51530.8,51495.85,51519.1,0,51513,1,6
641,2024-10-22 13:41:00+05:30,51520.85,51538.75,51495.0,51535.05,0,51516,1,19
642,2024-10-22 13:42:00+05:30,51536.75,51537.35,51506.3,51511.8,0,51521,0,-9
643,2024-10-22 13:43:00+05:30,51509.85,51513.25,51482.0,51499.65,0,51497,1,2
644,2024-10-22 13:44:00+05:30,51489.45,51501.8,51481.35,51500.05,0,51491,1,9
645,2024-10-22 13:45:00+05:30,51499.0,51502.65,51469.5,51486.8,0,51486,1,0
646,2024-10-22 13:46:00+05:30,51482.7,51515.25,51465.55,51512.2,0,51490,1,22
647,2024-10-22 13:47:00+05:30,51513.8,51551.6,51505.45,51544.95,0,51528,1,16
